trial,total_distance_m,total_time_s,avg_velocity_ms,avg_velocity_kmh,n_strides_total,avg_cadence_min,avg_stride_length_m
marcha_5kmh,52.17306792879958,34.524955075955475,1.5111697557322803,5.440211120636209,58,53.19320874123006,1.7990713078896408
carrera_10kmh,94.65259134849677,37.989390850586744,2.491553279197549,8.969591805111177,97,82.45373867109402,1.9515998216184902
carrera_15kmh,115.95124995264601,23.857046838833767,4.860251595092823,17.496905742334164,66,91.40793264986974,3.513674240989273
