stride_id,sensor,t_start,t_end,dt_stride_s,dt_stance_s,dt_swing_s,stance_pct,cadence_step_min,theta_range_rad,theta_range_deg,theta_swing_max_deg,stride_length_m,step_height_m,step_height_cm,stride_vel_kin_ms
1,Mov2,12.994588012957477,14.182212203022138,1.1876241900646605,0.2672154427645488,0.9204087473001117,22.500000000000014,50.52103224399066,0.4529436606041374,25.95176010982305,25.953157280134434,2.3778259945361415,0.04538153679281324,4.538153679281324,2.0021703956759924
2,Mov2,14.182212203022138,14.795818034555543,0.6136058315334054,0.267215442764547,0.3463903887688584,43.54838709677411,97.78264305288553,0.4246892156447195,24.33289966116372,24.334375184635608,4.299349443626835,0.03997970081911646,3.9979700819116464,7.0066958667630805
3,Mov2,14.795818034555543,15.429217602590029,0.6333995680344859,0.2672154427645488,0.36618412526993716,42.18750000000001,94.72693545748243,0.40221051203330116,23.044964815303967,23.046425553530458,3.966231475139817,0.03591542242309408,3.591542242309408,6.261815882583413
4,Mov2,15.429217602590029,16.052720302373974,0.6235026997839448,0.2573185745140094,0.3661841252699354,41.26984126984134,96.23053760760155,0.36125958325035945,20.698649428900605,20.700003380487576,3.6236861763629253,0.02905019551141912,2.905019551141912,5.811821147877306
5,Mov2,16.052720302373974,16.666326133907383,0.613605831533409,0.2573185745140094,0.35628725701939956,41.93548387096761,97.78264305288498,0.35257614644585333,20.201125148333837,20.202419399767646,3.577678410984082,0.0276847014639303,2.76847014639303,5.830580850321153
6,Mov2,16.666326133907383,17.289828833691328,0.6235026997839448,0.2573185745140094,0.3661841252699354,41.26984126984134,96.23053760760155,0.3589099238037109,20.564023859314595,20.565250032156566,3.600371839937164,0.028677259799956868,2.867725979995687,5.774428629073714
7,Mov2,17.289828833691328,17.893537796974197,0.6037089632828696,0.2573185745140094,0.3463903887688602,42.622950819672035,99.38563720129301,0.3607140546653882,20.667392943378008,20.668611617864062,3.659368750388365,0.028963109344807704,2.8963109344807703,6.06147825019745
8,Mov2,17.893537796974197,18.517040496758142,0.6235026997839448,0.2672154427645488,0.356287257019396,42.85714285714302,96.23053760760155,0.37922342787657515,21.72790190981153,21.729061320039563,3.801763562052911,0.03197479020454109,3.197479020454109,6.097429190555698
9,Mov2,18.517040496758142,19.150440064792626,0.6333995680344842,0.2573185745140094,0.37608099352047475,40.625000000000036,94.7269354574827,0.36587414756950976,20.963044488679575,20.964113279374686,3.6121239894625607,0.029787883175704067,2.9787883175704066,5.702757266904081
10,Mov2,19.150440064792626,19.754149028075496,0.6037089632828696,0.24742170626347004,0.35628725701939956,40.983606557376866,99.38563720129301,0.38200408075339354,21.887221583944132,21.888480924764913,3.8727932809626933,0.032439949753324024,3.243994975332402,6.415000466289391
11,Mov2,19.754149028075496,20.38754859610998,0.6333995680344842,0.2573185745140094,0.37608099352047475,40.625000000000036,94.7269354574827,0.3804890373865688,21.800415993245785,21.80174848091195,3.754699867275116,0.032186477920670566,3.2186477920670566,5.927853533159813
12,Mov2,20.38754859610998,21.00115442764339,0.613605831533409,0.2573185745140094,0.35628725701939956,41.93548387096761,97.78264305288498,0.37523282861878293,21.499257414611996,21.500405899904546,3.80496045680358,0.03131326279899602,3.1313262798996018,6.200984836299444
13,Mov2,21.00115442764339,21.644450863928412,0.6432964362850235,0.26721544276454523,0.3760809935204783,41.53846153846107,93.26959798890596,0.4039717773001179,23.14587788169555,23.147010125255072,3.922080635656919,0.03622532291214593,3.6225322912145934,6.096848069463226
14,Mov2,21.644450863928412,22.267953563712357,0.6235026997839448,0.2573185745140094,0.3661841252699354,41.26984126984134,96.23053760760155,0.36844152972327726,21.110144650487662,21.111337086048806,3.6949174085465124,0.030202972118375065,3.0202972118375064,5.926064810668614
15,Mov2,22.267953563712357,22.91124999999738,0.6432964362850235,0.2573185745140094,0.3859778617710141,40,93.26959798890596,0.4130950880437406,23.668605082491492,23.66997008761054,4.009408035049279,0.037857088453093456,3.7857088453093457,6.232597926708927
