stride_id,sensor,t_start,t_end,dt_stride_s,dt_stance_s,dt_swing_s,stance_pct,cadence_step_min,theta_range_rad,theta_range_deg,theta_swing_max_deg,stride_length_m,step_height_m,step_height_cm,stride_vel_kin_ms
1,Mov2,18.796420942774652,21.314506870762397,2.5180859279877446,1.953003652809393,0.5650822751783515,77.55905511811027,23.827622136766106,0.3727812267777042,21.35879097607168,21.359662943474746,0.9255494826835026,0.030909391363668826,3.0909391363668828,0.3675607223710307
2,Mov2,21.314506870762397,21.97872638720011,0.6642195164377114,0.20818820664465676,0.4560313097930546,31.343283582089697,90.3315824289343,0.1461384559528749,8.373116750658212,8.373851911605723,1.3822929730394429,0.00479749595081152,0.47974959508115206,2.081078527250818
3,Mov2,21.97872638720011,22.702428248393435,0.7237018611933266,0.2577568272743349,0.46594503391899167,35.6164383561643,82.9070688046384,0.1994712751356691,11.428862199366677,11.429405621074485,1.7303508791222104,0.008923678715449846,0.8923678715449846,2.390971989859194
4,Mov2,22.702428248393435,23.396388937208954,0.693960688815519,0.25775682727433846,0.4362038615411805,37.14285714285755,86.46022889626572,0.2439903180405527,13.97961546577834,13.980057819574634,2.2054320368370575,0.013329058481781958,1.3329058481781957,3.178035978668159
5,Mov2,23.396388937208954,24.139918246654155,0.7435293094452007,0.2478431031484014,0.49568620629679927,33.33333333333349,80.69621363651449,0.269535578770026,15.443251092138441,15.444336143123614,2.2726696904668082,0.01624966866548157,1.6249668665481571,3.056597314452347
6,Mov2,24.139918246654155,24.84379265959561,0.703874412941456,0.2478431031484014,0.4560313097930546,35.211267605634,85.24247919350128,0.23116978970937585,13.245053301274005,13.245618129014765,2.060640322746786,0.01197144701155301,1.197144701155301,2.9275681639505446
7,Mov2,24.84379265959561,25.56749452078894,0.7237018611933301,0.25775682727433846,0.46594503391899167,35.61643835616462,82.907068804638,0.22591617952872278,12.944043610715623,12.944685894739264,1.958833088114608,0.011435948363421117,1.1435948363421118,2.706685160218656
8,Mov2,25.56749452078894,26.291196381982267,0.7237018611933266,0.2577568272743349,0.46594503391899167,35.6164383561643,82.9070688046384,0.2230327201280946,12.778833556662306,12.779373732265576,1.9339361093021983,0.011146928511862475,1.1146928511862475,2.6722829012948677
9,Mov2,26.291196381982267,27.00498451904966,0.7137881370673931,0.2478431031484014,0.46594503391899167,34.72222222222237,84.05855587136921,0.23448738960826265,13.435137773593247,13.435762304791858,2.061049772093459,0.012316032609026578,1.231603260902658,2.887481123686513
10,Mov2,27.00498451904966,27.728686380242987,0.7237018611933266,0.24784310314839786,0.4758587580449287,34.246575342465526,82.9070688046384,0.23777101208486684,13.623275483016963,13.624000794205502,2.061149261618203,0.01266191282322377,1.2661912823223769,2.8480640608268333
11,Mov2,27.728686380242987,28.452388241436314,0.7237018611933266,0.2577568272743349,0.46594503391899167,35.6164383561643,82.9070688046384,0.2447023994221278,14.020414723612438,14.021100871795232,2.1209390597326343,0.013407045499241377,1.3407045499241377,2.93068067592831
12,Mov2,28.452388241436314,29.186003826755577,0.7336155853192636,0.2478431031484014,0.4857724821708622,33.783783783783996,81.78670300998101,0.24234230297038972,13.885191157684044,13.885923810453805,2.0721975431209825,0.01315103826940472,1.315103826940472,2.824636750620802
13,Mov2,29.186003826755577,29.89979196382297,0.7137881370673931,0.26767055140027196,0.4461175856671211,37.499999999999936,84.05855587136921,0.2191374018961989,12.55564826211432,12.555795484890812,1.9266889492274384,0.01076185255057594,1.0761852550575939,2.699244844756404
14,Mov2,29.89979196382297,30.59375265263849,0.693960688815519,0.23792937902246436,0.4560313097930546,34.28571428571439,86.46022889626572,0.22423747073275457,12.847860681675156,12.848650085538672,2.027667725900343,0.011267601730404725,1.1267601730404726,2.9218769284485706
15,Mov2,30.59375265263849,31.327368237957753,0.7336155853192636,0.25775682727433846,0.47585875804492517,35.135135135135485,81.78670300998101,0.24664048165603591,14.131458655964659,14.132258205004533,2.1087651393356315,0.013619383457370298,1.3619383457370298,2.8744824694774085
16,Mov2,31.327368237957753,32.05107009915108,0.7237018611933301,0.2478431031484014,0.4758587580449287,34.246575342465846,82.907068804638,0.22614479425500966,12.957142269666399,12.95793316371431,1.9608068685120426,0.011459266967827326,1.1459266967827326,2.7094124993389115
17,Mov2,32.05107009915108,32.77477196034441,0.7237018611933266,0.24784310314839786,0.4758587580449287,34.246575342465526,82.9070688046384,0.22587924987671149,12.941927697516489,12.94265383002596,1.9585142478828388,0.011432373480219554,1.1432373480219553,2.706244591734786
18,Mov2,32.77477196034441,33.51830126978961,0.7435293094452007,0.24784310314839786,0.4956862062968028,33.333333333333016,80.69621363651449,0.23887853154307637,13.686731673700983,13.687597962849473,2.0154855664992133,0.012779836935594863,1.2779836935594864,2.710700897592199
19,Mov2,33.51830126978961,34.22217568273106,0.7038744129414525,0.24784310314839786,0.4560313097930546,35.21126760563367,85.24247919350172,0.23539363701543414,13.487061925218848,13.487630378186239,2.0981191216652593,0.012410866618657552,1.2410866618657552,2.9808145929006495
20,Mov2,34.22217568273106,34.955791268050326,0.7336155853192636,0.24784310314840496,0.48577248217085867,33.78378378378448,81.78670300998101,0.24955290926335794,14.298328466001594,14.299297062836356,2.133537661805085,0.013941557253849967,1.3941557253849968,2.90825018511103
21,Mov2,34.955791268050326,35.67949312924366,0.7237018611933337,0.257756827274342,0.46594503391899167,35.616438356164934,82.90706880463759,0.2664419685809669,15.266000284846688,15.266809396941705,2.308294927030101,0.015880448524377807,1.5880448524377806,3.189566105611342
