stride_id,sensor,t_start,t_end,dt_stride_s,dt_stance_s,dt_swing_s,stance_pct,cadence_step_min,theta_range_rad,theta_range_deg,theta_swing_max_deg,stride_length_m,step_height_m,step_height_cm,stride_vel_kin_ms,step_order,cumul_distance_m
1,Mov,12.65250013740396,13.88148502336199,1.2289848859580292,0.9368491343778409,0.29213575158018834,76.22950819672123,48.8207793973221,0.31460160848125507,18.025344394003042,18.027084726112157,1.6030817295439646,0.022090350486849625,2.2090350486849624,1.3043949912323909,1,0.8015408647719823
1,Mov2,12.994588012957477,14.182212203022138,1.1876241900646605,0.2672154427645488,0.9204087473001117,22.500000000000014,50.52103224399066,0.4529436606041374,25.95176010982305,25.953157280134434,2.3778259945361415,0.04538153679281324,4.538153679281324,2.0021703956759924,2,1.9904538620400531
2,Mov,14.54634569937207,15.15076449574487,0.6044187963727996,0.26191481176154596,0.34250398461125364,43.33333333333324,99.26891810788854,0.2923220327717384,16.748818736505548,16.75031207128548,2.971079758617934,0.019093594013896455,1.9093594013896455,4.915597887504148,3,3.4759937413490203
3,Mov2,14.795818034555543,15.429217602590029,0.6333995680344859,0.2672154427645488,0.36618412526993716,42.18750000000001,94.72693545748243,0.40221051203330116,23.044964815303967,23.046425553530458,3.966231475139817,0.03591542242309408,3.591542242309408,6.261815882583413,4,5.459109478918929
3,Mov,15.15076449574487,15.765256938723883,0.6144924429790137,0.2719884583677601,0.34250398461125364,44.262295081967196,97.64155879464434,0.3117301491049156,17.86082189069552,17.86232039914582,3.166788799058153,0.021691653311002562,2.169165331100256,5.153503245224296,5,7.042503878448006
4,Mov2,15.429217602590029,16.052720302373974,0.6235026997839448,0.2573185745140094,0.3661841252699354,41.26984126984134,96.23053760760155,0.36125958325035945,20.698649428900605,20.700003380487576,3.6236861763629253,0.02905019551141912,2.905019551141912,5.811821147877306,6,8.854346966629468
4,Mov,15.765256938723883,16.409970321521538,0.6447133827976543,0.2619148117615495,0.3827985710361048,40.62500000000038,93.06461072614529,0.28075313106372524,16.085969495034703,16.087499647296898,2.7293824339325545,0.017622164848442035,1.7622164848442035,4.233481895611869,7,10.219038183595744
5,Mov2,16.052720302373974,16.666326133907383,0.613605831533409,0.2573185745140094,0.35628725701939956,41.93548387096761,97.78264305288498,0.35257614644585333,20.201125148333837,20.202419399767646,3.577678410984082,0.0276847014639303,2.76847014639303,5.830580850321153,8,12.007877389087785
5,Mov,16.409970321521538,17.04461005771298,0.634639736191442,0.2518411651553336,0.38279857103610837,39.682539682539606,94.5418267694173,0.2645355951745667,15.156773134483979,15.158379377661419,2.6135062835800755,0.015656985677543835,1.5656985677543835,4.118094305383519,9,13.314630530877823
6,Mov2,16.666326133907383,17.289828833691328,0.6235026997839448,0.2573185745140094,0.3661841252699354,41.26984126984134,96.23053760760155,0.3589099238037109,20.564023859314595,20.565250032156566,3.600371839937164,0.028677259799956868,2.867725979995687,5.774428629073714,10,15.114816450846405
