stride_id,sensor,t_start,t_end,dt_stride_s,dt_stance_s,dt_swing_s,stance_pct,cadence_step_min,theta_range_rad,theta_range_deg,theta_swing_max_deg,stride_length_m,step_height_m,step_height_cm,stride_vel_kin_ms
1,Mov,5.283109777444773,6.523229057264825,1.2401192798200515,0.292385846461638,0.9477334333584135,23.57723577235771,48.38244270237162,0.3308807397867708,18.958069911948385,18.95805750652966,1.6701628472221852,0.02440950777247645,2.4409507772476453,1.346775970989287
2,Mov,6.523229057264825,7.7532660665172335,1.2300370092524089,0.3427971992998513,0.8872398099525576,27.868852459016367,48.77902010157138,0.32969412842494394,18.890082088993434,18.88978647274231,1.6778689377655818,0.02423561165525374,2.423561165525374,1.364080044051159
3,Mov,7.7532660665172335,8.953056264066715,1.1997901975494818,0.322632658164566,0.8771575393849158,26.89075630252096,50.008743297409275,0.33568885803046333,19.23355479471182,19.233281677711343,1.7511538533608948,0.025116668748770634,2.511666874877063,1.4595500587832346
4,Mov,8.953056264066715,10.112517379345624,1.1594611152789085,0.292385846461638,0.8670752688172705,25.217391304347846,51.748177846884495,0.33307813832670097,19.083971574194592,19.083720390112777,1.7981018190302536,0.02473116869319931,2.473116869319931,1.5508082119664013
5,Mov,10.112517379345624,10.828358589648255,0.7158412103026315,0.3226326581645669,0.3932085521380646,45.07042253521135,83.8174711604466,0.31898658182534034,18.27658485989649,18.276249745565845,2.7902725530526475,0.02270000148032869,2.270000148032869,3.897893154087933
6,Mov,10.828358589648255,12.4919332333093,1.663574643661045,0.8267461865467016,0.8368284571143434,49.696969696969724,36.06691183267702,0.34228590947377713,19.61153799964439,19.61114830388003,1.2875328711300682,0.026103525931362354,2.6103525931362355,0.7739555757453612
7,Mov,12.4919332333093,13.207774443611932,0.7158412103026315,0.3327149287322104,0.38312628157042106,46.47887323943682,83.8174711604466,0.31237784803341406,17.89793230569363,17.897469182865724,2.732939835437843,0.021776409347183823,2.1776409347183825,3.817801764000784
8,Mov,13.207774443611932,14.397482370593771,1.1897079269818391,0.8065816454114163,0.38312628157042283,67.79661016949152,50.432546206709354,0.33231293634572756,19.04012873020977,19.039605382608492,1.7483986533900602,0.02461801383726584,2.461801383726584,1.4696032645807104
9,Mov,14.397482370593771,15.587190297575608,1.1897079269818374,0.7964993748437728,0.3932085521380646,66.9491525423729,50.43254620670943,0.34765860649675084,19.919370863663286,19.91901505037227,1.828340227529092,0.026921199741042512,2.6921199741042514,1.536797550107443
10,Mov,15.587190297575608,16.71640460115159,1.1292143035759832,0.7259234808702733,0.40329082270570993,64.28571428571414,53.13428975349734,0.30427467748738457,17.43365483273142,17.433303417260575,1.6878993406342155,0.020670143136074414,2.0670143136074413,1.4947555439999254
11,Mov,16.71640460115159,17.8758657164305,1.1594611152789085,0.7561702925732021,0.4032908227057064,65.2173913043479,51.748177846884495,0.3524543024248059,20.194144000168915,20.19378278022269,1.9016480048654507,0.027661281357706843,2.766128135770684,1.6401136526325069
12,Mov,17.8758657164305,19.06557364341234,1.1897079269818391,0.8065816454114163,0.38312628157042283,67.79661016949152,50.432546206709354,0.37130486357532066,21.274201595546685,21.273753676119444,1.9513104152950775,0.030664111643258385,3.0664111643258387,1.6401592113833703
13,Mov,19.06557364341234,20.668654663667528,1.603081020255189,0.7964993748437728,0.8065816454114163,49.685534591194944,37.427927373532754,0.3581406821310189,20.519949558043763,20.519648771215305,1.3973603459514816,0.028551584006737563,2.8551584006737563,0.8716716923821108
14,Mov,20.668654663667528,21.404660415105443,0.736005751437915,0.35287946986749574,0.3831262815704193,47.94520547945236,81.52110208755785,0.30575632948428,17.51854723886066,17.518038063092938,2.602165833514781,0.020869994607003135,2.0869994607003135,3.5355237760452254
15,Mov,21.404660415105443,22.594368342087282,1.1897079269818391,0.8065816454114163,0.38312628157042283,67.79661016949152,50.432546206709354,0.3494681629772298,20.02305081278528,20.022586138056898,1.8377599086512089,0.027199024834247288,2.719902483424729,1.544715191831501
16,Mov,22.594368342087282,24.288189797451256,1.6938214553639739,0.8368284571143434,0.8569929982496305,49.404761904761855,35.422859835664916,0.36152659746709315,20.713948216589436,20.71352533905529,1.334869054266921,0.02908774669742505,2.9087746697425048,0.7880813234710621
17,Mov,24.288189797451256,25.004031007753888,0.7158412103026315,0.33271492873220865,0.38312628157042283,46.478873239436574,83.8174711604466,0.3220619418420807,18.452790009338997,18.452307564503506,2.8169418600645844,0.023135648456946573,2.3135648456946574,3.9351490519436347
18,Mov,25.004031007753888,26.647441110279647,1.6434101025257597,0.7864171042761292,0.8569929982496305,47.852760736196245,36.509450628169986,0.33510794292219526,19.200270810752677,19.199931205394606,1.2762581280749914,0.025030455702986554,2.5030455702986556,0.7765913852625758
19,Mov,26.647441110279647,27.827066766693843,1.1796256564141956,0.3226326581645651,0.8569929982496305,27.350427350427246,50.86359361018554,0.342094887703289,19.600593258400306,19.600261438177654,1.8147480609640119,0.026074835043118007,2.6074835043118005,1.5384101312957619
20,Mov,27.827066766693843,28.563072518131758,0.736005751437915,0.36296174043513574,0.3730440110027793,49.315068493150626,81.52110208755785,0.3408063398886161,19.52676490691874,19.526468819258607,2.897719731298729,0.025880767916054127,2.588076791605413,3.9370884339389067
21,Mov,28.563072518131758,30.24681170292809,1.6837391847963303,0.8065816454114163,0.877157539384914,47.904191616766504,35.634972768812624,0.3392672650302533,19.43858241317986,19.43819021537545,1.2610027583788534,0.0256495283578352,2.56495283578352,0.7489299826038008
22,Mov,30.24681170292809,30.942488372095436,0.6956766691673479,0.3125503875969251,0.38312628157042283,44.927536231884154,86.24696307814047,0.30200893186188704,17.303837170940184,17.303458197381676,2.719533092197442,0.020365717891893453,2.0365717891893453,3.909191169875566
23,Mov,30.942488372095436,32.11203175794199,1.1695433858465556,0.7864171042761292,0.3831262815704264,67.24137931034457,51.30207286544564,0.34945895798172955,20.022523405392675,20.02224323563806,1.869396685250741,0.02719810273296021,2.719810273296021,1.598398749352601
24,Mov,32.11203175794199,33.775606401603035,1.6635746436610432,0.7662525631408457,0.8973220805201976,46.060606060606155,36.06691183267706,0.32574651207548433,18.663900333032558,18.663730499268564,1.225884029059025,0.02366413060801001,2.366413060801001,0.7368975198859795
25,Mov,33.775606401603035,34.49144761190567,0.715841210302635,0.3226326581645651,0.39320855213806993,45.070422535210874,83.81747116044617,0.31537919972257833,18.069897090317202,18.06946893105889,2.75898118414188,0.02219348425551265,2.219348425551265,3.8541804305670944
26,Mov,34.49144761190567,35.6811555388875,1.189707926981832,0.8166639159790563,0.37304401100277573,68.64406779661034,50.43254620670965,0.3046425896345122,17.454734645993426,17.454401550909264,1.6039960940769833,0.020719816504326444,2.0719816504326443,1.3482267854986545
27,Mov,35.6811555388875,36.850698924734054,1.169543385846552,0.7460880220055657,0.42345536384098637,63.793103448276426,51.302072865445794,0.3056167004786732,17.51054708614178,17.51034596680278,1.636827883997914,0.02085181362110655,2.0851813621106547,1.3995443895509074
28,Mov,36.850698924734054,38.01016004001296,1.1594611152789085,0.7561702925732021,0.4032908227057064,65.2173913043479,51.748177846884495,0.3075399504676142,17.62074119345668,17.620294542599833,1.6613695574926095,0.02111242203317118,2.111242203317118,1.4328807888421224
29,Mov,38.01016004001296,39.13937434358895,1.129214303575985,0.715841210302635,0.4133730932733499,63.392857142857295,53.13428975349726,0.3101128302187628,17.768156344392168,17.767983776514047,1.7200277676396893,0.021464971600597856,2.1464971600597855,1.5232075631638051
