stride_id,sensor,t_start,t_end,dt_stride_s,dt_stance_s,dt_swing_s,stance_pct,cadence_step_min,theta_range_rad,theta_range_deg,theta_swing_max_deg,stride_length_m,step_height_m,step_height_cm,stride_vel_kin_ms,step_order,cumul_distance_m
1,Mov2,4.614419267633472,5.842290489063838,1.227871221430366,0.26735905627919276,0.9605121651511732,21.77419354838711,48.86505926094194,0.30057452962921083,17.221651976883695,17.22187190918101,1.533546747988049,0.020175565559056714,2.017556555905671,1.2489475453310135,1,0.7667733739940245
1,Mov,5.283109777444773,6.523229057264825,1.2401192798200515,0.292385846461638,0.9477334333584135,23.57723577235771,48.38244270237162,0.3308807397867708,18.958069911948385,18.95805750652966,1.6701628472221852,0.02440950777247645,2.4409507772476453,1.346775970989287,2,1.601854797605117
2,Mov2,5.842290489063838,7.089966085033403,1.2476755959695653,0.29706561808799137,0.950609977881574,23.80952380952378,48.08942339965715,0.36520129730281436,20.924493008153675,20.92462436077914,1.8304094149155168,0.02967701824945987,2.967701824945987,1.4670555558098501,3,2.5170595050628752
2,Mov,6.523229057264825,7.7532660665172335,1.2300370092524089,0.3427971992998513,0.8872398099525576,27.868852459016367,48.77902010157138,0.32969412842494394,18.890082088993434,18.88978647274231,1.6778689377655818,0.02423561165525374,2.423561165525374,1.364080044051159,4,3.355993973945666
3,Mov2,7.089966085033403,8.298032931924569,1.2080668468911657,0.3069678053575915,0.9010990415335742,25.40983606557379,49.66612580620332,0.3445020489121614,19.738513436276303,19.73850656046572,1.7843697138957308,0.026440298163088422,2.644029816308842,1.4770455115854064,5,4.248178830893531
3,Mov,7.7532660665172335,8.953056264066715,1.1997901975494818,0.322632658164566,0.8771575393849158,26.89075630252096,50.008743297409275,0.33568885803046333,19.23355479471182,19.233281677711343,1.7511538533608948,0.025116668748770634,2.511666874877063,1.4595500587832346,6,5.123755757573979
4,Mov2,8.298032931924569,9.456588842467736,1.1585559105431678,0.3762831162447906,0.7822727942983771,32.47863247863257,51.7886098150154,0.3150980592946161,18.053788930344464,18.053465432058395,1.7031948393738667,0.022154515322663545,2.2154515322663544,1.4701015495880168,7,5.975353177260912
4,Mov,8.953056264066715,10.112517379345624,1.1594611152789085,0.292385846461638,0.8670752688172705,25.217391304347846,51.748177846884495,0.33307813832670097,19.083971574194592,19.083720390112777,1.7981018190302536,0.02473116869319931,2.473116869319931,1.5508082119664013,8,6.874404086776039
5,Mov2,9.456588842467736,10.664655689358904,1.2080668468911675,0.29706561808799314,0.9110012288031744,24.590163934426325,49.66612580620325,0.28957180542380856,16.591242316767712,16.591040251049503,1.5020370356885862,0.018734742957798662,1.8734742957798662,1.2433393396680985,9,7.625422604620332
5,Mov,10.112517379345624,10.828358589648255,0.7158412103026315,0.3226326581645669,0.3932085521380646,45.07042253521135,83.8174711604466,0.31898658182534034,18.27658485989649,18.276249745565845,2.7902725530526475,0.02270000148032869,2.270000148032869,3.897893154087933,10,9.020558881146655
