stride_id,sensor,t_start,t_end,dt_stride_s,dt_stance_s,dt_swing_s,stance_pct,cadence_step_min,theta_range_rad,theta_range_deg,theta_swing_max_deg,stride_length_m,step_height_m,step_height_cm,stride_vel_kin_ms,cumul_distance_m,step_order
1,Mov2,4.614419267633472,5.842290489063838,1.227871221430366,0.26735905627919276,0.9605121651511732,21.77419354838711,48.86505926094194,0.300574529629392,17.221651976894076,17.221871909191446,1.5335467479889664,0.020175565559080944,2.0175565559080946,1.2489475453317607,0.7667733739944832,1
1,Mov,5.283109777444772,6.523229057264825,1.2401192798200524,0.2923858464616389,0.9477334333584135,23.577235772357767,48.382442702371584,0.33088073978628385,18.958069911920486,18.9580575065018,1.6701628472197487,0.02440950777240536,2.440950777240536,1.3467759709873213,1.6018547976043576,2
2,Mov2,5.842290489063838,7.089966085033403,1.2476755959695653,0.29706561808799137,0.950609977881574,23.80952380952378,48.08942339965715,0.36520129730276796,20.924493008151018,20.924624360776516,1.8304094149152867,0.029677018249452524,2.9677018249452525,1.4670555558096658,2.517059505062001,3
2,Mov,6.523229057264825,7.7532660665172335,1.2300370092524089,0.3427971992998513,0.8872398099525576,27.868852459016367,48.77902010157138,0.32969412842480383,18.89008208898541,18.889786472734304,1.6778689377648752,0.02423561165523341,2.423561165523341,1.3640800440505845,3.3559939739444387,4
3,Mov2,7.089966085033403,8.298032931924569,1.2080668468911657,0.3069678053575915,0.9010990415335742,25.40983606557379,49.66612580620332,0.34450204891218816,19.738513436277835,19.738506560467297,1.784369713895868,0.02644029816309262,2.644029816309262,1.47704551158552,4.248178830892373,5
3,Mov,7.7532660665172335,8.953056264066714,1.19979019754948,0.322632658164566,0.877157539384914,26.890756302520998,50.00874329740935,0.33568885803049797,19.233554794713807,19.233281677713375,1.7511538533610764,0.02511666874877588,2.511666874877588,1.459550058783388,5.123755757572911,6
4,Mov2,8.298032931924569,9.456588842467736,1.1585559105431678,0.3762831162447906,0.7822727942983771,32.47863247863257,51.7886098150154,0.3150980592944129,18.05378893033282,18.0534654320468,1.7031948393727776,0.022154515322635317,2.2154515322635318,1.4701015495870768,5.9753531772593,7
4,Mov,8.953056264066714,10.112517379345624,1.1594611152789103,0.292385846461638,0.8670752688172723,25.217391304347807,51.74817784688442,0.3330781383267196,19.08397157419566,19.083720390113886,1.7981018190303504,0.024731168693202157,2.4731168693202155,1.5508082119664823,6.874404086774475,8
5,Mov2,9.456588842467736,10.664655689358902,1.2080668468911657,0.29706561808799137,0.9110012288031744,24.59016393442621,49.66612580620332,0.2895718054238994,16.591242316772913,16.591040251054757,1.502037035689056,0.01873474295781045,1.873474295781045,1.2433393396684893,7.625422604619003,9
5,Mov,10.112517379345624,10.828358589648255,0.7158412103026315,0.3226326581645669,0.3932085521380646,45.07042253521135,83.8174711604466,0.31898658182505035,18.27658485987988,18.276249745549265,2.790272553050132,0.022700001480287873,2.2700001480287875,3.8978931540844193,9.02055888114407,10
6,Mov2,10.664655689358902,11.85291816171087,1.1882624723519672,0.3168699926271916,0.8713924797247756,26.666666666666696,50.49389456964,0.30405815743790376,17.421249147716207,17.420998058741244,1.6028901809584615,0.02064119832312136,2.064119832312136,1.348936130067129,9.8220039716233,11
6,Mov,10.828358589648255,12.4919332333093,1.663574643661045,0.8267461865467016,0.8368284571143434,49.696969696969724,36.06691183267702,0.3422859094737418,19.611537999642366,19.611148303878068,1.2875328711299368,0.02610352593135721,2.6103525931357208,0.7739555757452822,10.465770407188268,12
7,Mov2,11.85291816171087,13.031278446793237,1.178360285082368,0.35647874170559035,0.8218815433767777,30.252100840336137,50.91821301140166,0.31481182189412904,18.03738873535776,18.03701557181727,1.6730611144616259,0.02211449427703804,2.211449427703804,1.4198213701208353,11.30230096441908,13
7,Mov,12.4919332333093,13.207774443611932,0.7158412103026315,0.33271492873220865,0.38312628157042283,46.478873239436574,83.8174711604466,0.31237784803307034,17.897932305673933,17.89746918284608,2.7329398354348604,0.02177640934713641,2.177640934713641,3.8178017639966177,12.66877088213651,14
8,Mov2,13.031278446793237,14.219540919145205,1.1882624723519672,0.3960874907839891,0.7921749815679782,33.333333333333336,50.49389456964,0.32294617256249303,18.503452697734435,18.50322804447571,1.7016200528557404,0.023262400460089906,2.3262400460089907,1.4320237257747166,13.51958090856438,15
8,Mov,13.207774443611932,14.39748237059377,1.1897079269818374,0.8065816454114163,0.38312628157042106,67.79661016949161,50.43254620670943,0.33231293634577974,19.040128730212757,19.039605382611533,1.7483986533903348,0.024618013837273633,2.461801383727363,1.4696032645809434,14.393780235259548,16
